miRNA,1144_ATCACG_L006_R1_001.fastq,1145_CGATGT_L006_R1_001.fastq,1146_TTAGGC_L006_R1_001.fastq,1186_ATCACG_L008_R1_001.fastq,1187_CGATGT_L008_R1_001.fastq,1188_TTAGGC_L008_R1_001.fastq,1228_ATCACG_L008_R1_001.fastq,1229_CGATGT_L008_R1_001.fastq,1230_TTAGGC_L008_R1_001.fastq,1312_ATCACG_L002_R1_001.fastq,1313_CGATGT_L002_R1_001.fastq,1314_TTAGGC_L002_R1_001.fastq,742_ACTGAT_L006_R1_001.fastq,743_ATGAGC_L006_R1_001.fastq,744_ATTCTT_L006_R1_001.fastq,784_ACTGAT_L002_R1_001.fastq,785_ATGAGC_L002_R1_001.fastq,786_ATTCTT_L002_R1_001.fastq,895_ATCACG_L005_R1_001.fastq,896_CGATGT_L005_R1_001.fastq,897_TTAGGC_L005_R1_001.fastq,982_ACTGAT_L004_R1_001.fastq,983_ATGAGC_L004_R1_001.fastq,984_ATTCTT_L004_R1_001.fastq,Con_DMSO_002_1.fastq,Con_DMSO_002_2.fastq,Con_DMSO_002_3.fastq,Con_DMSO_008_1.fastq,Con_DMSO_008_2.fastq,Con_DMSO_008_3.fastq,Con_DMSO_024_1.fastq,Con_DMSO_024_2.fastq,Con_DMSO_024_3.fastq,Con_DMSO_072_1.fastq,Con_DMSO_072_2.fastq,Con_DMSO_072_3.fastq,Con_DMSO_168_1.fastq,Con_DMSO_168_2.fastq,Con_DMSO_168_3.fastq,Con_DMSO_240_1.fastq,Con_DMSO_240_2.fastq,Con_DMSO_240_3.fastq,Con_DMSO_336_1.fastq,Con_DMSO_336_2.fastq,Con_DMSO_336_3.fastq,Con_UNTR_000_1.fastq,Con_UNTR_000_2.fastq,Con_UNTR_000_3.fastq,Con_UNTR_002_1.fastq,Con_UNTR_002_2.fastq,Con_UNTR_002_3.fastq,Con_UNTR_008_1.fastq,Con_UNTR_008_2.fastq,Con_UNTR_008_3.fastq,Con_UNTR_024_1.fastq,Con_UNTR_024_2.fastq,Con_UNTR_024_3.fastq,Con_UNTR_072_1.fastq,Con_UNTR_072_2.fastq,Con_UNTR_072_3.fastq,Con_UNTR_168_1.fastq,Con_UNTR_168_2.fastq,Con_UNTR_168_3.fastq,Con_UNTR_240_1.fastq,Con_UNTR_240_2.fastq,Con_UNTR_240_3.fastq,Con_UNTR_336_1.fastq,Con_UNTR_336_2.fastq,Con_UNTR_336_3.fastq
miRNAtotal,921947,1866587,2967712,2439919,2437229,3059122,1261301,1368500,1911239,1694497,1586065,2099540,438780,1657589,2673,1291936,795903,1102,1914193,1508636,1760534,12038,15407,24,4378348,5706427,654,3238744,3145726,5083198,5646672,9201308,5170676,6131627,5241331,4147399,5814878,4490304,5454131,4793554,3806885,4448501,5021476,6923935,3614513,4339074,8313008,6377932,3315686,6141211,4815073,5388109,4107691,2254961,5700580,4945112,5141022,4754546,5329372,8937097,2789588,2877686,2842346,1695223,1493581,2852471,2403050,4388959,5769528
hsa-let-7a-2-3p,0,0,7,3,0,3,0,0,11,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,6,9,0,4,0,0,0,14,10,5,4,0,8,5,13,8,0,0,5,0,7,10,14,6,9,10,6,13,8,10,8,0,3,0,5,9,0,3,0,0,0,0,0,0,28
hsa-let-7a-3p,72,103,157,129,173,164,41,67,100,69,70,87,0,44,0,71,50,0,100,103,106,0,0,0,201,325,0,193,166,364,307,524,284,276,301,194,230,242,202,172,134,183,205,254,143,317,586,331,209,423,279,314,233,118,284,268,282,296,310,329,102,121,124,75,69,89,80,120,192
hsa-let-7a-5p/7c-5p,16649,41016,65849,61300,61970,73150,35320,35906,46990,36391,38612,54191,12158,39783,42,15309,9099,9,32110,24531,28198,9,12,0,126146,147128,23,96197,94803,143654,157705,251767,153969,196689,162584,143163,208361,148985,190596,215795,154233,199867,213705,294293,158245,122457,198137,180318,95798,149843,137234,139692,111008,61388,152110,130087,143374,133922,167037,266641,97329,96894,96287,64757,42500,115166,84137,187446,208611
hsa-let-7b-3p,104,95,151,136,166,141,72,85,106,82,104,158,24,78,0,157,101,0,135,98,149,0,0,0,247,254,0,221,189,338,269,525,318,253,340,174,283,248,266,219,197,215,277,334,164,283,520,403,215,376,321,327,223,117,257,259,248,240,234,410,78,97,121,0,46,77,71,107,193
hsa-let-7b-5p,2062,3711,5510,4478,4396,5161,3002,2875,3673,2672,2853,4082,1593,2818,0,1084,691,0,1945,1650,1768,0,0,0,10931,11282,0,7904,7601,10827,12121,18212,11994,17612,13927,11067,19677,14342,22263,23069,17706,18729,25826,36026,19745,8575,14415,13335,6978,10384,10147,10013,8067,4892,10614,9515,10284,9952,12204,18112,8899,8917,9620,6642,4129,10290,10799,20581,26565
hsa-let-7c-3p,22,25,43,49,54,58,18,28,27,21,21,27,2,15,0,22,15,0,22,23,14,0,0,0,67,68,0,53,51,83,75,124,82,54,49,45,34,41,33,30,35,26,26,73,22,48,98,47,47,91,40,54,61,24,48,44,53,40,33,35,22,19,30,7,10,16,20,13,26
hsa-let-7d-3p,484,520,922,1178,1084,1274,584,532,830,707,582,846,299,503,0,774,539,0,485,594,621,0,0,0,2413,1888,0,2048,2200,3054,3054,4271,3781,3933,3407,2979,3243,3651,3764,3112,2751,3028,3608,4164,2393,993,1551,1682,829,1401,1229,1270,916,655,970,985,1046,898,1109,1366,590,592,616,354,398,371,550,636,1219
hsa-let-7d-5p,830,1845,2695,2418,2489,2798,1426,1391,1940,1504,1557,1927,539,1378,0,1007,636,0,1589,1350,1452,11,13,0,8491,8930,2,6156,6476,9131,9527,15042,9059,10696,9282,8957,11452,9360,10793,9504,7431,9135,10027,14163,7917,5890,10602,8742,5582,8429,7174,8658,6084,3993,6870,6975,7621,6681,8077,12521,4800,4379,4619,2865,2275,4404,4582,8847,11520
hsa-let-7e-3p,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,27,0,36,13,15,37,7,15,6,0,0,14,0,0,6,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
