miRNA,1270_ATCACG_L004_R1_001.fastq,1271_CGATGT_L004_R1_001.fastq,1272_TTAGGC_L004_R1_001.fastq
miRNAtotal,643408,2124291,2160272
hsa-let-7a-2-3p,0,8,0
hsa-let-7a-3p,12,77,76
hsa-let-7a-5p/7c-5p,32607,58386,56006
hsa-let-7b-3p,26,113,142
hsa-let-7b-5p,2666,3983,4141
hsa-let-7c-3p,10,23,33
hsa-let-7d-3p,947,797,1113
hsa-let-7d-5p,1023,2107,1919
hsa-let-7e-3p,0,0,0
hsa-let-7e-5p,358,419,405
hsa-let-7f-1-3p,11,45,46
hsa-let-7f-2-3p,0,0,0
hsa-let-7f-5p,57213,98443,113080
hsa-let-7g-3p,0,0,0
hsa-let-7g-5p,4202,10895,10407
hsa-let-7i-3p,29,75,135
hsa-let-7i-5p,2689,5948,6768
hsa-miR-1-3p,0,19,0
hsa-miR-1-5p,0,0,0
hsa-miR-100-3p,6,82,56
hsa-miR-100-5p,5051,19700,15849
hsa-miR-101-2-5p,0,0,0
hsa-miR-101-3p,801,8159,8963
hsa-miR-101-5p,0,6,16
hsa-miR-10226,0,0,0
hsa-miR-10392-3p,0,0,0
hsa-miR-10392-5p,0,0,0
hsa-miR-10393-3p,0,0,0
hsa-miR-10393-5p,0,0,0
hsa-miR-10394-3p,0,0,0
hsa-miR-10394-5p,0,0,0
hsa-miR-10395-3p,35,54,0
hsa-miR-10395-5p,0,0,0
hsa-miR-10396a-3p/10396b-3p,20,34,42
hsa-miR-10396a-5p/10396b-5p,0,0,88
hsa-miR-10397-3p,0,0,0
hsa-miR-10397-5p,0,0,0
hsa-miR-10398-3p,0,0,0
hsa-miR-10398-5p,0,0,0
hsa-miR-10399-3p,0,0,0
hsa-miR-10399-5p,0,75,60
hsa-miR-103a-1-5p/103a-2-5p,0,0,0
hsa-miR-103a-3p/107,1877,6002,6282
hsa-miR-103b,0,0,0
hsa-miR-10400-3p,0,0,0
hsa-miR-10400-5p,0,0,0
hsa-miR-10401-3p,50,115,110
hsa-miR-10401-5p,0,0,0
hsa-miR-105-3p,0,0,0
hsa-miR-105-5p,0,0,0
hsa-miR-10522-5p,0,0,0
hsa-miR-10523-5p,0,41,0
hsa-miR-10524-5p,0,0,0
hsa-miR-10525-3p,0,0,0
hsa-miR-10526-3p,0,0,0
hsa-miR-10527-5p,13,0,20
hsa-miR-106a-3p,0,0,0
hsa-miR-106a-5p/17-5p,77,482,522
hsa-miR-106b-3p,226,410,459
hsa-miR-106b-5p,25,143,149
hsa-miR-10a-3p,0,6,0
hsa-miR-10a-5p,554,1743,1447
hsa-miR-10b-3p,0,0,0
hsa-miR-10b-5p,20,63,87
hsa-miR-11181-3p,0,0,0
hsa-miR-11181-5p,0,0,0
hsa-miR-11399,0,0,0
hsa-miR-11400,0,0,0
hsa-miR-11401,0,0,0
hsa-miR-1178-3p,0,0,0
hsa-miR-1178-5p,0,0,0
hsa-miR-1179-3p,0,0,0
hsa-miR-1179-5p,0,0,0
hsa-miR-1180-3p,74,121,107
hsa-miR-1180-5p,0,0,0
hsa-miR-1181-3p,0,0,0
hsa-miR-1181-5p,0,0,0
hsa-miR-1182,0,0,0
hsa-miR-1183,0,0,0
hsa-miR-1184,0,0,0
hsa-miR-1185-1-3p/1185-2-3p,0,0,0
hsa-miR-1185-5p,0,0,0
hsa-miR-1193-3p,0,0,0
hsa-miR-1193-5p,0,0,0
hsa-miR-1197,0,0,0
hsa-miR-1199-3p,0,0,0
hsa-miR-1199-5p,0,0,0
hsa-miR-1200,0,0,0
hsa-miR-1202,0,0,0
hsa-miR-1203,0,0,0
hsa-miR-1204,0,0,0
hsa-miR-1205,0,0,0
hsa-miR-1206,0,0,0
hsa-miR-1207-3p,0,0,0
hsa-miR-1207-5p,0,0,0
hsa-miR-1208,0,0,0
hsa-miR-12113,0,0,0
hsa-miR-12114,0,0,0
hsa-miR-12115,0,0,0
hsa-miR-12116,0,0,0
hsa-miR-12117,0,0,0
hsa-miR-12118,0,0,0
hsa-miR-12119,0,0,0
hsa-miR-12120,0,0,0
hsa-miR-12121,0,0,0
hsa-miR-12122,0,0,0
hsa-miR-12123,0,0,0
hsa-miR-12124,0,0,0
hsa-miR-12125,0,0,0
hsa-miR-12126,0,0,0
hsa-miR-12127,0,0,0
hsa-miR-12128,0,0,0
hsa-miR-12129,0,0,0
hsa-miR-12130,0,0,0
hsa-miR-12131,0,0,0
hsa-miR-12132,0,0,0
hsa-miR-12133,0,0,0
hsa-miR-12135,0,0,0
hsa-miR-12136,68,260,264
hsa-miR-122-3p,297,947,1029
hsa-miR-122-5p,89498,184456,176538
hsa-miR-1224-3p,0,0,0
hsa-miR-1224-5p,0,0,0
hsa-miR-1225-3p,0,0,0
hsa-miR-1225-5p,0,0,0
hsa-miR-1226-3p,10,0,15
hsa-miR-1226-5p,0,0,0
hsa-miR-1227-3p,0,0,0
hsa-miR-1227-5p,0,0,0
hsa-miR-1228-3p,0,9,9
hsa-miR-1228-5p,0,0,0
hsa-miR-1229-3p,0,10,10
hsa-miR-1229-5p,0,0,0
hsa-miR-1229-5p.SNPB,0,0,0
hsa-miR-122b-3p,0,6,17
hsa-miR-122b-5p,6,34,29
hsa-miR-1231-3p,0,0,0
hsa-miR-1231-5p,0,0,0
hsa-miR-1233-3p,0,0,0
hsa-miR-1233-5p,0,0,0
hsa-miR-1234-3p,0,0,0
hsa-miR-1236-3p,0,0,0
hsa-miR-1236-5p,0,0,0
hsa-miR-1237-3p,0,30,0
hsa-miR-1237-5p,0,0,0
hsa-miR-1238-3p,0,0,0
hsa-miR-1238-5p,0,0,0
hsa-miR-124-3p,0,0,0
hsa-miR-124-5p,0,0,0
hsa-miR-1243,0,0,0
hsa-miR-1244,0,0,0
hsa-miR-1245a,0,0,0
hsa-miR-1245b-3p,0,0,0
hsa-miR-1245b-5p,0,0,0
hsa-miR-1246,0,27,0
hsa-miR-1247-3p,0,0,0
hsa-miR-1247-5p,72,0,0
hsa-miR-1248,0,0,7
hsa-miR-1249-3p,41,52,47
hsa-miR-1249-5p,0,0,0
hsa-miR-1250-3p,0,0,0
hsa-miR-1250-5p,0,0,0
hsa-miR-1251-3p,0,0,0
hsa-miR-1251-5p,0,0,0
hsa-miR-1252-3p,0,0,0
hsa-miR-1252-5p,0,0,0
hsa-miR-1253,0,0,0
hsa-miR-1255a,5,10,25
hsa-miR-1255b-2-3p,0,0,0
hsa-miR-1255b-5p,0,0,0
hsa-miR-1256-3p,6,0,9
hsa-miR-1256-5p,0,0,0
hsa-miR-1257,0,0,0
hsa-miR-1258,10,0,0
hsa-miR-125a-3p,0,19,19
hsa-miR-125a-5p,323,823,719
hsa-miR-125b-1-3p,105,260,276
hsa-miR-125b-2-3p,430,1336,1261
hsa-miR-125b-5p,1362,4810,4223
hsa-miR-126-3p,160,637,832
hsa-miR-126-5p,506,3788,4067
hsa-miR-1260a/1260b,159,277,297
hsa-miR-1261,0,0,0
hsa-miR-1262,0,45,0
hsa-miR-1263-3p,0,0,0
hsa-miR-1263-5p,0,0,0
hsa-miR-1264,0,0,0
hsa-miR-1265-3p,0,0,0
hsa-miR-1265-5p,0,0,0
hsa-miR-1266-3p,0,0,0
hsa-miR-1266-5p,0,0,60
hsa-miR-1267,0,0,0
hsa-miR-1268a/1268b,53,60,49
hsa-miR-1269a-3p,17,22,33
hsa-miR-1269a-5p,0,0,0
hsa-miR-1269b,0,11,16
hsa-miR-127-3p,53,123,132
hsa-miR-127-5p,0,0,0
hsa-miR-1270-3p,0,0,0
hsa-miR-1270-5p,19,0,0
hsa-miR-1271-3p,0,0,0
hsa-miR-1271-5p,5,32,21
hsa-miR-1272,0,0,0
hsa-miR-1273c,0,0,0
hsa-miR-1273h-3p,4,13,17
hsa-miR-1273h-5p,0,0,0
hsa-miR-1275,136,155,250
hsa-miR-1276,13,59,34
hsa-miR-1277-3p,0,0,0
hsa-miR-1277-5p,0,38,33
hsa-miR-1278,0,0,8
hsa-miR-1279,0,0,0
hsa-miR-128-1-5p,77,159,135
hsa-miR-128-2-5p,10,0,8
hsa-miR-128-3p,723,2773,2848
hsa-miR-1281,0,0,0
hsa-miR-1282,0,0,0
hsa-miR-1283,0,0,0
hsa-miR-1284-3p,0,0,10
hsa-miR-1284-5p,0,13,8
hsa-miR-1285-3p,20,27,30
hsa-miR-1285-5p,0,0,0
hsa-miR-1286-3p,20,52,47
hsa-miR-1286-5p,0,0,0
hsa-miR-1287-3p,0,0,0
hsa-miR-1287-5p,0,0,75
hsa-miR-1288-3p,0,0,0
hsa-miR-1288-5p,0,0,0
hsa-miR-1289-3p,0,0,0
hsa-miR-1289-5p,0,0,0
hsa-miR-129-1-3p/129-2-3p,0,0,0
hsa-miR-129-5p,0,0,0
hsa-miR-1290,0,0,0
hsa-miR-1291,0,0,0
hsa-miR-1292-3p,0,0,0
hsa-miR-1292-5p,0,0,0
hsa-miR-1293-3p,8,24,21
hsa-miR-1293-5p,20,0,47
hsa-miR-1294-3p,0,0,0
hsa-miR-1294-5p,11,11,19
hsa-miR-1295a,0,0,0
hsa-miR-1295b-3p,0,0,0
hsa-miR-1295b-5p,7,24,29
hsa-miR-1296-3p,0,0,0
hsa-miR-1296-5p,15,37,48
hsa-miR-1297,0,0,0
hsa-miR-1298-3p,0,0,0
hsa-miR-1298-5p,0,0,0
hsa-miR-1299,19,42,60
hsa-miR-1301-3p,56,94,81
hsa-miR-1301-5p,0,0,0
hsa-miR-1302-3p,0,0,0
hsa-miR-1302-5p,0,0,0
hsa-miR-1303-3p,36,50,71
hsa-miR-1303-5p,0,0,0
hsa-miR-1304-3p,0,0,0
hsa-miR-1304-5p,0,0,0
hsa-miR-1305-3p,0,0,0
hsa-miR-1305-5p,0,0,0
hsa-miR-1306-3p,0,0,0
hsa-miR-1306-5p,23,30,19
hsa-miR-1307-3p,548,1063,1165
hsa-miR-1307-5p,333,2604,2805
hsa-miR-130a-3p,177,616,757
hsa-miR-130a-5p,0,0,6
hsa-miR-130b-3p,137,440,436
hsa-miR-130b-5p,68,185,200
hsa-miR-132-3p,20,57,68
hsa-miR-132-5p,0,0,21
hsa-miR-1321,0,0,0
hsa-miR-1322,0,0,0
hsa-miR-1323,0,0,0
hsa-miR-1324,0,0,0
hsa-miR-133a-3p/133b,4,0,20
hsa-miR-133a-5p,0,0,0
hsa-miR-134-3p,0,0,0
hsa-miR-134-5p,0,12,0
hsa-miR-1343-3p,7,15,18
hsa-miR-1343-5p,0,0,0
hsa-miR-135a-2-3p,0,0,0
hsa-miR-135a-3p,0,0,0
hsa-miR-135a-5p,0,0,0
hsa-miR-135b-3p,0,0,0
hsa-miR-135b-5p,0,0,26
hsa-miR-136-3p,0,10,11
hsa-miR-136-5p,0,0,15
hsa-miR-137-3p,0,0,0
hsa-miR-137-5p,18,0,0
hsa-miR-138-1-3p,0,15,8
hsa-miR-138-2-3p,0,0,0
hsa-miR-138-5p,10,37,53
hsa-miR-139-3p,0,0,0
hsa-miR-139-5p,7,9,9
hsa-miR-140-3p,211,947,1017
hsa-miR-140-5p,20,107,77
hsa-miR-141-3p,18,91,84
hsa-miR-141-5p,0,0,0
hsa-miR-142-3p,33,312,350
hsa-miR-142-5p,732,7216,7056
hsa-miR-143-3p,50,100,224
hsa-miR-143-5p,0,0,0
hsa-miR-144-3p,0,0,0
hsa-miR-144-5p,0,5,0
hsa-miR-145-3p,0,0,0
hsa-miR-145-5p,0,0,0
hsa-miR-1468-3p,0,0,0
hsa-miR-1468-5p,194,264,330
hsa-miR-1469,0,0,0
hsa-miR-146a-3p,0,0,0
hsa-miR-146a-5p,603,1508,1606
hsa-miR-146b-3p,325,682,694
hsa-miR-146b-5p,13795,59781,51289
hsa-miR-1470,0,0,0
hsa-miR-1471,0,0,0
hsa-miR-147a,0,0,0
hsa-miR-147b-3p,0,45,47
hsa-miR-147b-5p,0,0,0
hsa-miR-148a-3p,11707,93179,103423
hsa-miR-148a-5p,195,1177,1168
hsa-miR-148b-3p,0,3121,3186
hsa-miR-148b-5p,22,164,156
hsa-miR-149-3p,0,5,0
hsa-miR-149-5p,16,43,66
hsa-miR-150-3p,30,0,39
hsa-miR-150-5p,304,689,742
hsa-miR-151a-3p,4222,13542,14337
hsa-miR-151a-5p/151b,2407,8473,7895
hsa-miR-152-3p,194,665,718
hsa-miR-152-5p,19,84,98
hsa-miR-153-3p,0,7,0
hsa-miR-153-5p,0,0,0
hsa-miR-1537-3p,0,4,0
hsa-miR-1537-5p,0,0,0
hsa-miR-1538,0,0,33
hsa-miR-1539,0,0,0
hsa-miR-154-3p,0,0,0
hsa-miR-154-5p,0,0,0
hsa-miR-155-3p,0,0,0
hsa-miR-155-5p,668,1059,1173
hsa-miR-1587,0,0,0
hsa-miR-15a-3p,0,0,0
hsa-miR-15a-5p,105,662,697
hsa-miR-15b-3p,24,64,45
hsa-miR-15b-5p,186,522,557
hsa-miR-16-1-3p,0,0,17
hsa-miR-16-2-3p,52,129,146
hsa-miR-16-5p,2757,14169,15799
hsa-miR-17-3p,26,102,132
hsa-miR-181a-2-3p,200,533,555
hsa-miR-181a-3p,27,82,97
