miRNA,1144_ATCACG_L006_R1_001.fastq,1145_CGATGT_L006_R1_001.fastq,1146_TTAGGC_L006_R1_001.fastq,1186_ATCACG_L008_R1_001.fastq,1187_CGATGT_L008_R1_001.fastq,1188_TTAGGC_L008_R1_001.fastq,1228_ATCACG_L008_R1_001.fastq,1229_CGATGT_L008_R1_001.fastq,1230_TTAGGC_L008_R1_001.fastq,1312_ATCACG_L002_R1_001.fastq,1313_CGATGT_L002_R1_001.fastq,1314_TTAGGC_L002_R1_001.fastq,742_ACTGAT_L006_R1_001.fastq,743_ATGAGC_L006_R1_001.fastq,744_ATTCTT_L006_R1_001.fastq,784_ACTGAT_L002_R1_001.fastq,785_ATGAGC_L002_R1_001.fastq,786_ATTCTT_L002_R1_001.fastq,895_ATCACG_L005_R1_001.fastq,896_CGATGT_L005_R1_001.fastq,897_TTAGGC_L005_R1_001.fastq,982_ACTGAT_L004_R1_001.fastq,983_ATGAGC_L004_R1_001.fastq,984_ATTCTT_L004_R1_001.fastq,Con_DMSO_002_1.fastq,Con_DMSO_002_2.fastq,Con_DMSO_002_3.fastq,Con_DMSO_008_1.fastq,Con_DMSO_008_2.fastq,Con_DMSO_008_3.fastq,Con_DMSO_024_1.fastq,Con_DMSO_024_2.fastq,Con_DMSO_024_3.fastq,Con_DMSO_072_1.fastq,Con_DMSO_072_2.fastq,Con_DMSO_072_3.fastq,Con_DMSO_168_1.fastq,Con_DMSO_168_2.fastq,Con_DMSO_168_3.fastq,Con_DMSO_240_1.fastq,Con_DMSO_240_2.fastq,Con_DMSO_240_3.fastq,Con_DMSO_336_1.fastq,Con_DMSO_336_2.fastq,Con_DMSO_336_3.fastq,Con_UNTR_000_1.fastq,Con_UNTR_000_2.fastq,Con_UNTR_000_3.fastq,Con_UNTR_002_1.fastq,Con_UNTR_002_2.fastq,Con_UNTR_002_3.fastq,Con_UNTR_008_1.fastq,Con_UNTR_008_2.fastq,Con_UNTR_008_3.fastq,Con_UNTR_024_1.fastq,Con_UNTR_024_2.fastq,Con_UNTR_024_3.fastq,Con_UNTR_072_1.fastq,Con_UNTR_072_2.fastq,Con_UNTR_072_3.fastq,Con_UNTR_168_1.fastq,Con_UNTR_168_2.fastq,Con_UNTR_168_3.fastq,Con_UNTR_240_1.fastq,Con_UNTR_240_2.fastq,Con_UNTR_240_3.fastq,Con_UNTR_336_1.fastq,Con_UNTR_336_2.fastq,Con_UNTR_336_3.fastq
hsa-let-7a-2-3p,0.0,0.0,2.35871944447,1.22954901372,0.0,0.980673539663,0.0,0.0,5.75542880822,0.0,0.0,0.0,0.0,0.0,0.0,10.8364501028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37037987844,1.57716904115,0.0,1.23504667241,0.0,0.0,0.0,1.52152280958,1.93398310008,0.815444253214,0.763164928908,0.0,1.37578122877,1.11351035476,2.38351444071,1.66890787086,0.0,0.0,0.995723169841,0.0,1.93663710713,2.3046391926,1.68410760581,0.940743802223,2.71437041988,1.62834333489,1.24608702713,2.41272030688,1.94756616308,4.43466649756,1.40336597329,0.0,0.583541560413,0.0,0.938196845707,1.00703841527,0.0,1.04250428991,0.0,0.0,0.0,0.0,0.0,0.0,4.85308330248
hsa-let-7a-3p,78.0955955169,55.1809264717,52.9027075404,52.8706075898,70.9822507446,53.6101535016,32.5061186822,48.9587139204,52.3220800748,40.7200484864,44.134382891,41.4376482468,0.0,26.5445776969,0.0,54.9562826642,62.8217257631,0.0,52.2413361662,68.2735928349,60.2090047679,0.0,0.0,0.0,45.9077259277,56.9533264861,0.0,59.591001944,52.7700123914,71.6084638057,54.3683075624,56.9484251587,54.9251200423,45.0125227774,57.4281609004,46.77630486,39.5537103272,53.8939011702,37.0361474633,35.8815192235,35.199382172,41.1374528184,40.8246499635,36.6843420685,39.5627294742,73.0570624055,70.4919326434,51.897699756,63.0337130838,68.8789230658,57.9430467617,58.2764751047,56.7228644998,52.3290646712,49.8194920517,54.1949302665,54.8529066789,62.2562070069,58.1682044338,36.812848736,36.5645392796,42.0476730262,43.6259343514,44.2419669861,46.1976953376,31.2010183451,33.2910259878,27.3413353827,33.2782855027
hsa-let-7a-5p/7c-5p,18058.5218022,21973.794953,22188.4738142,25123.784847,25426.4166396,23912.0898088,28002.8319965,26237.4862989,24586.1454271,21475.98963,24344.5256027,25810.8919097,27708.6467022,24000.521239,15712.6823793,11849.6581874,11432.2976544,8166.96914701,16774.693043,16260.3835518,16016.7312872,747.632497093,778.86674888,0.0,28811.3233576,25782.8585208,35168.1957187,29701.9461865,30137.0812334,28260.5556581,27928.8402089,27362.0880857,29777.3443937,32077.7829441,31019.6017004,34518.7429519,35832.394076,33179.2680406,34945.255257,45017.7467491,40514.2261981,44929.0671172,42558.2040022,42503.7207888,43780.4484311,28221.9201608,23834.5734781,28272.1734882,28892.3619426,24399.585033,28500.9178469,25925.9788545,27024.4280789,27223.5306952,26683.2497746,26306.1787074,27888.2292276,28167.1478202,31342.7173033,29835.3033429,34890.0984662,33670.8035554,33875.8898459,38199.6940815,28455.1022007,40374.1177386,35012.5881692,42708.5329346,36157.3771719
hsa-let-7b-3p,112.80474908,50.89502927,50.8809480165,55.7395552885,68.1101365526,46.0916563641,57.0839157346,62.1118012422,55.4614048792,48.3919416794,65.5710831523,75.2545795746,54.6971147272,47.0562968263,0.0,121.523047581,126.899886041,0.0,70.5258038244,64.9593407555,84.6334123624,0.0,0.0,0.0,56.4139716624,44.5112151614,0.0,68.2363286509,60.0815201324,66.4935735338,47.6386799162,57.0571053594,61.5006625826,41.2614792126,64.8690189572,41.9540053899,48.6682609678,55.2301135959,48.7703724021,45.6863529648,51.748345432,48.330887191,55.1630636092,48.2384655546,45.3726407956,65.2212891506,62.552568216,63.1866253826,64.8432933637,61.2257093918,66.6656559516,60.6891954116,54.2884067959,51.8855980214,45.0831318918,52.374951265,48.2394356608,50.4780056813,43.9076123791,45.8761944734,27.9611182727,33.7076387069,42.5704681977,0.0,30.7984635584,26.9941394671,29.5457855642,24.3793573829,33.4516099064
hsa-let-7b-5p,2236.57108272,1988.12056443,1856.64916272,1835.30682781,1803.68771256,1687.0853794,2380.08215327,2100.84033613,1921.79000115,1576.86912399,1798.7913484,1944.23540395,3630.52099002,1700.05954431,0.0,839.050850816,868.196250046,0.0,1016.09398843,1093.70318619,1004.24075877,0.0,0.0,0.0,2496.60374187,1977.06901359,0.0,2440.45222469,2416.29436257,2129.95834512,2146.57412366,1979.28381487,2319.61933024,2872.32083752,2657.14949123,2668.41941178,3383.90590482,3193.99310158,4081.86015334,4812.50445911,4651.04672193,4210.1822614,5143.10931686,5203.1106589,5462.69995432,1976.22810766,1734.02936699,2090.80310044,2104.54186554,1690.87171895,2107.34084405,1858.35141791,1963.8770297,2169.43885061,1861.91580506,1924.12224435,2000.3804691,2093.15463558,2289.950861,2026.60886415,3190.07681421,3098.67025103,3384.52813275,3918.06859628,2764.49687027,3607.39863788,4493.87237053,4689.2668626,4604.36278323
hsa-let-7c-3p,23.8625430746,13.3934287553,14.4892765875,20.0826338907,22.156309481,18.9596884335,14.2709789337,20.4603580563,14.1269616202,12.393058235,13.2403148673,12.8599598007,4.55809289393,9.04928785121,0.0,17.0287073044,18.8465177289,0.0,11.4930939566,15.2455595651,7.95213270519,0.0,0.0,0.0,15.3025753092,11.9163883109,0.0,16.3643684095,16.2124736865,16.3283035601,13.2821598279,13.4763448849,15.8586614207,8.80679793471,9.34877037913,10.8501738077,5.84707022228,9.130784909,6.0504597341,6.25840451573,9.19386847777,5.84466542775,5.17776048317,10.5431376811,6.08657376526,11.0622681245,11.7887532407,7.36915978408,14.175045526,14.8179243475,8.30724684756,10.0220689671,14.8501919935,10.6431995941,8.42019583972,8.89767511838,10.309234234,8.41300094688,6.19209918167,3.91626050383,7.88646925639,6.6025271694,10.5546615366,4.12925025203,6.69531816487,5.60917183733,8.32275649695,2.96197799979,4.50643449516
hsa-let-7d-3p,524.975947641,278.583318109,310.677046829,482.80291272,444.767397729,416.459363177,463.013983181,388.746803069,434.27326462,417.232960578,366.945869179,402.945407089,681.434887643,303.452785944,0.0,599.100884254,677.218203726,0.0,253.370480406,393.733147028,352.733886423,0.0,0.0,0.0,551.121107779,330.855016633,0.0,632.343896276,699.361610007,600.802880391,540.849548194,464.173137124,731.239010141,641.428449578,650.025728198,718.281506072,557.707315614,813.085261042,690.119104217,649.205161765,722.638062353,680.678727508,718.513839357,601.392127454,662.053228194,228.850671825,186.575064044,263.72184589,250.023675342,228.130901218,255.240159391,235.704214596,222.996325673,290.47065559,170.158124261,199.186590718,203.461490731,188.871871258,208.092060378,152.846052807,211.500766421,205.720846541,216.722383552,208.822084174,266.473662962,130.062671978,228.875803666,144.909077528,211.282448062
hsa-let-7d-5p,900.268670542,988.435042138,908.106986123,991.016505056,1021.24174626,914.641521325,1130.57866441,1016.44135915,1015.04835345,887.579027877,981.674773732,917.820093925,1228.40603491,831.327910598,0.0,779.450375251,799.092351706,0.0,830.114831681,894.848061428,824.749763424,913.773052002,843.772311287,0.0,1939.31592464,1564.90217083,3058.10397554,1900.73682884,2058.66626655,1796.31011816,1687.18848908,1634.7675787,1751.99529036,1744.39834647,1770.92421753,2159.66681769,1969.43082899,2084.4913841,1978.86702758,1982.66255058,1951.98961881,2053.50071856,1996.8232448,2045.51313668,2190.33656816,1357.43248444,1275.3506312,1370.66371984,1683.51285375,1372.53059698,1489.90472211,1606.87172438,1481.12406702,1770.76233247,1205.14052956,1410.48372615,1482.3900773,1405.18148315,1515.56318456,1401.01422196,1720.68420139,1521.70876183,1625.06605459,1690.04313887,1523.18488251,1543.92454823,1906.74351345,2015.73995109,1996.69713016
hsa-let-7e-3p,0.0,0.0,0.0,0.0,2.46181216455,0.0,0.0,0.0,3.66254560523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.30416240821,0.0,4.40339896735,0.0,8.68013904618,2.23564449675,3.34053106427,6.78384879278,1.460294387,3.94022934762,1.34876894486,0.0,0.0,3.87327421426,0.0,0.0,0.940743802223,0.0,0.0,0.0,0.742375479041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.559465786261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,171.376445718,160.721145063,134.110048414,252.057547812,217.460074535,211.498593387,183.144229649,193.642674461,190.452371472,217.763737558,148.165428277,198.6149347,252.974155613,224.42233871,0.0,157.902558641,180.926570198,0.0,159.858488669,230.009094308,244.244075945,0.0,0.0,0.0,93.4142283802,75.8793549799,0.0,106.214013828,138.600755438,103.084711632,107.31985141,123.78674858,122.034333615,159.011629377,146.336875118,201.813232824,280.143452709,261.452231297,283.454871179,422.85953178,392.184161066,403.05711969,464.405286414,485.273186418,491.075837879,67.9868561818,59.9061134068,72.2804821375,112.495574068,76.8578054068,61.2659455007,65.8858237649,65.730358004,82.9282635043,75.4309210642,64.9125843864,106.204563995,99.4837361969,116.524048237,95.1091836644,188.916786278,209.195860841,209.334120477,295.536339467,182.782185901,267.136808753,438.609267389,357.032271206,350.288619797
