miRNA,1270_ATCACG_L004_R1_001.fastq,1271_CGATGT_L004_R1_001.fastq,1272_TTAGGC_L004_R1_001.fastq
hsa-let-7a-2-3p,0.0,3.76596238463,0.0
hsa-let-7a-3p,18.6506851018,36.247387952,35.180755016
hsa-let-7a-5p/7c-5p,50678.574093,27484.9349736,25925.4390188
hsa-let-7b-3p,40.4098177206,53.1942186828,65.7324633194
hsa-let-7b-5p,4143.56054012,1874.97852225,1916.8882437
hsa-let-7c-3p,15.5422375849,10.8271418558,15.2758541517
hsa-let-7d-3p,1471.84989929,375.184002568,515.212899116
hsa-let-7d-5p,1589.97090493,991.860343051,888.314064155
hsa-let-7e-3p,0.0,0.0,0.0
hsa-let-7e-5p,556.412105538,197.242279895,187.476391862
hsa-let-7f-1-3p,17.0964613433,21.1835384135,21.2936148781
hsa-let-7f-2-3p,0.0,0.0,0.0
hsa-let-7f-5p,88921.8038943,46341.5793787,52345.2602265
hsa-let-7g-3p,0.0,0.0,0.0
hsa-let-7g-5p,6530.84823316,5128.77002256,4817.44891384
hsa-let-7i-3p,45.0724889961,35.3058973559,62.4921306206
hsa-let-7i-5p,4179.30768657,2799.99303297,3132.93881511
hsa-miR-1-3p,0.0,8.94416066349,0.0
hsa-miR-1-5p,0.0,0.0,0.0
hsa-miR-100-3p,9.32534255092,38.6011144424,25.9226615908
hsa-miR-100-5p,7850.38420411,9273.68237214,7336.57613486
hsa-miR-101-2-5p,0.0,0.0,0.0
hsa-miR-101-3p,1244.93323055,3840.81088702,4149.01456854
hsa-miR-101-5p,0.0,2.82447178847,7.40647474022
hsa-miR-10226,0.0,0.0,0.0
hsa-miR-10392-3p,0.0,0.0,0.0
hsa-miR-10392-5p,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,0.0,0.0
hsa-miR-10393-5p,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0
hsa-miR-10394-5p,0.0,0.0,0.0
hsa-miR-10395-3p,54.397831547,25.4202460962,0.0
hsa-miR-10395-5p,0.0,0.0,0.0
hsa-miR-10396a-3p/10396b-3p,31.0844751697,16.0053401347,19.4419961931
hsa-miR-10396a-5p/10396b-5p,0.0,0.0,40.7356110712
hsa-miR-10397-3p,0.0,0.0,0.0
hsa-miR-10397-5p,0.0,0.0,0.0
hsa-miR-10398-3p,0.0,0.0,0.0
hsa-miR-10398-5p,0.0,0.0,0.0
hsa-miR-10399-3p,0.0,0.0,0.0
hsa-miR-10399-5p,0.0,35.3058973559,27.7742802758
hsa-miR-103a-1-5p/103a-2-5p,0.0,0.0,0.0
hsa-miR-103a-3p/107,2917.27799468,2825.41327907,2907.96714488
hsa-miR-103b,0.0,0.0,0.0
hsa-miR-10400-3p,0.0,0.0,0.0
hsa-miR-10400-5p,0.0,0.0,0.0
hsa-miR-10401-3p,77.7111879243,54.135709279,50.919513839
hsa-miR-10401-5p,0.0,0.0,0.0
hsa-miR-105-3p,0.0,0.0,0.0
hsa-miR-105-5p,0.0,0.0,0.0
hsa-miR-10522-5p,0.0,0.0,0.0
hsa-miR-10523-5p,0.0,19.3005572212,0.0
hsa-miR-10524-5p,0.0,0.0,0.0
hsa-miR-10525-3p,0.0,0.0,0.0
hsa-miR-10526-3p,0.0,0.0,0.0
hsa-miR-10527-5p,20.2049088603,0.0,9.25809342527
hsa-miR-106a-3p,0.0,0.0,0.0
hsa-miR-106a-5p/17-5p,119.675229403,226.899233674,241.6362384
hsa-miR-106b-3p,351.254569418,193.005572212,212.47324411
hsa-miR-106b-5p,38.8555939622,67.3165776252,68.9727960183
