Entry	Entry name	Status	Gene names	Organism	Length	Mass	Gene encoded by	Version (sequence)
A1IGU5	ARH37_HUMAN	reviewed	ARHGEF37	Homo sapiens (Human)	675	76,278		2
A1L0T0	HACL2_HUMAN	reviewed	ILVBL AHAS HACL2	Homo sapiens (Human)	632	67,868		2
A3KMH1	VWA8_HUMAN	reviewed	VWA8 KIAA0564	Homo sapiens (Human)	1905	214,824		2
A4UGR9	XIRP2_HUMAN	reviewed	XIRP2 CMYA3	Homo sapiens (Human)	3374	382,300		2
A5YKK6	CNOT1_HUMAN	reviewed	CNOT1 CDC39 KIAA1007 NOT1 AD-005	Homo sapiens (Human)	2376	266,939		2
A6NC57	ANR62_HUMAN	reviewed	ANKRD62	Homo sapiens (Human)	917	106,446		4
A6NCN2	KR87P_HUMAN	reviewed	KRT87P KRT121P KRTHBP4	Homo sapiens (Human)	255	29,117		4
A6NHL2	TBAL3_HUMAN	reviewed	TUBAL3	Homo sapiens (Human)	446	49,909		2
A6NHR9	SMHD1_HUMAN	reviewed	SMCHD1 KIAA0650	Homo sapiens (Human)	2005	226,374		2
B5MCY1	TDR15_HUMAN	reviewed	TDRD15	Homo sapiens (Human)	1934	221,722		1
E9PAV3	NACAM_HUMAN	reviewed	NACA	Homo sapiens (Human)	2078	205,422		1
O00116	ADAS_HUMAN	reviewed	AGPS AAG5	Homo sapiens (Human)	658	72,912		1
O00151	PDLI1_HUMAN	reviewed	PDLIM1 CLIM1 CLP36	Homo sapiens (Human)	329	36,072		4
O00154	BACH_HUMAN	reviewed	ACOT7 BACH	Homo sapiens (Human)	380	41,796		3
O00159	MYO1C_HUMAN	reviewed	MYO1C	Homo sapiens (Human)	1063	121,682		4
O00161	SNP23_HUMAN	reviewed	SNAP23	Homo sapiens (Human)	211	23,354		1
O00170	AIP_HUMAN	reviewed	AIP XAP2	Homo sapiens (Human)	330	37,636		2
O00192	ARVC_HUMAN	reviewed	ARVCF	Homo sapiens (Human)	962	104,642		1
O00194	RB27B_HUMAN	reviewed	RAB27B	Homo sapiens (Human)	218	24,608		4
O00203	AP3B1_HUMAN	reviewed	AP3B1 ADTB3A	Homo sapiens (Human)	1094	121,320		3
O00217	NDUS8_HUMAN	reviewed	NDUFS8	Homo sapiens (Human)	210	23,705		1
O00231	PSD11_HUMAN	reviewed	PSMD11	Homo sapiens (Human)	422	47,464		3
O00232	PSD12_HUMAN	reviewed	PSMD12	Homo sapiens (Human)	456	52,904		3
O00233	PSMD9_HUMAN	reviewed	PSMD9	Homo sapiens (Human)	223	24,682		3
O00244	ATOX1_HUMAN	reviewed	ATOX1 HAH1	Homo sapiens (Human)	68	7,402		1
O00264	PGRC1_HUMAN	reviewed	PGRMC1 HPR6.6 PGRMC	Homo sapiens (Human)	195	21,671		3
O00273	DFFA_HUMAN	reviewed	DFFA DFF1 DFF45 H13	Homo sapiens (Human)	331	36,522		1
O00299	CLIC1_HUMAN	reviewed	CLIC1 G6 NCC27	Homo sapiens (Human)	241	26,923		4
O00300	TR11B_HUMAN	reviewed	TNFRSF11B OCIF OPG	Homo sapiens (Human)	401	46,026		3
O00303	EIF3F_HUMAN	reviewed	EIF3F EIF3S5	Homo sapiens (Human)	357	37,564		1
O00330	ODPX_HUMAN	reviewed	PDHX PDX1	Homo sapiens (Human)	501	54,122		3
O00339	MATN2_HUMAN	reviewed	MATN2 UNQ193/PRO219	Homo sapiens (Human)	956	106,837		4
O00410	IPO5_HUMAN	reviewed	IPO5 KPNB3 RANBP5	Homo sapiens (Human)	1097	123,630		4
O00422	SAP18_HUMAN	reviewed	SAP18 GIG38	Homo sapiens (Human)	153	17,561		1
O00425	IF2B3_HUMAN	reviewed	IGF2BP3 IMP3 KOC1 VICKZ3	Homo sapiens (Human)	579	63,705		2
O00429	DNM1L_HUMAN	reviewed	DNM1L DLP1 DRP1	Homo sapiens (Human)	736	81,877		2
O00442	RTCA_HUMAN	reviewed	RTCA RPC RPC1 RTC1 RTCD1	Homo sapiens (Human)	366	39,337		1
O00461	GOLI4_HUMAN	reviewed	GOLIM4 GIMPC GOLPH4 GPP130	Homo sapiens (Human)	696	81,880		1
O00468	AGRIN_HUMAN	reviewed	AGRN AGRIN	Homo sapiens (Human)	2068	217,320		6
O00469	PLOD2_HUMAN	reviewed	PLOD2	Homo sapiens (Human)	737	84,686		2
O00479	HMGN4_HUMAN	reviewed	HMGN4 HMG17L3 NHC	Homo sapiens (Human)	90	9,539		3
O00483	NDUA4_HUMAN	reviewed	NDUFA4	Homo sapiens (Human)	81	9,370		1
O00487	PSDE_HUMAN	reviewed	PSMD14 POH1	Homo sapiens (Human)	310	34,577		1
O00505	IMA4_HUMAN	reviewed	KPNA3 QIP2	Homo sapiens (Human)	521	57,811		2
O00506	STK25_HUMAN	reviewed	STK25 SOK1 YSK1	Homo sapiens (Human)	426	48,112		1
O00507	USP9Y_HUMAN	reviewed	USP9Y DFFRY	Homo sapiens (Human)	2555	291,077		2
O00534	VMA5A_HUMAN	reviewed	VWA5A BCSC1 LOH11CR2A	Homo sapiens (Human)	786	86,489		2
O00567	NOP56_HUMAN	reviewed	NOP56 NOL5A	Homo sapiens (Human)	594	66,050		4
O00571	DDX3X_HUMAN	reviewed	DDX3X DBX DDX3	Homo sapiens (Human)	662	73,243		3
O00629	IMA3_HUMAN	reviewed	KPNA4 QIP1	Homo sapiens (Human)	521	57,887		1
O00743	PPP6_HUMAN	reviewed	PPP6C PPP6	Homo sapiens (Human)	305	35,144		1
O00754	MA2B1_HUMAN	reviewed	MAN2B1 LAMAN MANB	Homo sapiens (Human)	1011	113,744		3
O00764	PDXK_HUMAN	reviewed	PDXK C21orf124 C21orf97 PKH PNK PRED79	Homo sapiens (Human)	312	35,102		1
O14545	TRAD1_HUMAN	reviewed	TRAFD1 FLN29	Homo sapiens (Human)	582	64,841		1
O14548	COX7R_HUMAN	reviewed	COX7A2L COX7AR COX7RP	Homo sapiens (Human)	114	12,615		2
O14556	G3PT_HUMAN	reviewed	GAPDHS GAPD2 GAPDH2 GAPDS HSD-35 HSD35	Homo sapiens (Human)	408	44,501		2
O14558	HSPB6_HUMAN	reviewed	HSPB6	Homo sapiens (Human)	160	17,136		2
O14561	ACPM_HUMAN	reviewed	NDUFAB1	Homo sapiens (Human)	156	17,417		3
O14579	COPE_HUMAN	reviewed	COPE	Homo sapiens (Human)	308	34,482		3
O14617	AP3D1_HUMAN	reviewed	AP3D1 PRO0039	Homo sapiens (Human)	1153	130,158		1
O14639	ABLM1_HUMAN	reviewed	ABLIM1 ABLIM KIAA0059 LIMAB1	Homo sapiens (Human)	778	87,688		3
O14683	P5I11_HUMAN	reviewed	TP53I11 PIG11	Homo sapiens (Human)	189	21,054		2
O14737	PDCD5_HUMAN	reviewed	PDCD5 TFAR19	Homo sapiens (Human)	125	14,285		3
O14744	ANM5_HUMAN	reviewed	PRMT5 HRMT1L5 IBP72 JBP1 SKB1	Homo sapiens (Human)	637	72,684		4
O14773	TPP1_HUMAN	reviewed	TPP1 CLN2 GIG1 UNQ267/PRO304	Homo sapiens (Human)	563	61,248		2
O14776	TCRG1_HUMAN	reviewed	TCERG1 CA150 TAF2S	Homo sapiens (Human)	1098	123,901		2
O14782	KIF3C_HUMAN	reviewed	KIF3C	Homo sapiens (Human)	793	89,426		3
O14786	NRP1_HUMAN	reviewed	NRP1 NRP VEGF165R	Homo sapiens (Human)	923	103,134		3
O14818	PSA7_HUMAN	reviewed	PSMA7 HSPC	Homo sapiens (Human)	248	27,887		1
O14828	SCAM3_HUMAN	reviewed	SCAMP3 C1orf3 PROPIN1	Homo sapiens (Human)	347	38,287		3
O14879	IFIT3_HUMAN	reviewed	IFIT3 CIG-49 IFI60 IFIT4 ISG60	Homo sapiens (Human)	490	55,985		1
O14880	MGST3_HUMAN	reviewed	MGST3	Homo sapiens (Human)	152	16,516		1
O14907	TX1B3_HUMAN	reviewed	TAX1BP3 TIP1	Homo sapiens (Human)	124	13,735		2
O14949	QCR8_HUMAN	reviewed	UQCRQ	Homo sapiens (Human)	82	9,906		4
O14958	CASQ2_HUMAN	reviewed	CASQ2	Homo sapiens (Human)	399	46,436		2
O14964	HGS_HUMAN	reviewed	HGS HRS	Homo sapiens (Human)	777	86,192		1
O14967	CLGN_HUMAN	reviewed	CLGN	Homo sapiens (Human)	610	70,039		1
O14974	MYPT1_HUMAN	reviewed	PPP1R12A MBS MYPT1	Homo sapiens (Human)	1030	115,281		1
O14979	HNRDL_HUMAN	reviewed	HNRNPDL HNRPDL JKTBP	Homo sapiens (Human)	420	46,438		3
O14980	XPO1_HUMAN	reviewed	XPO1 CRM1	Homo sapiens (Human)	1071	123,386		1
O14983	AT2A1_HUMAN	reviewed	ATP2A1	Homo sapiens (Human)	1001	110,252		1
O15020	SPTN2_HUMAN	reviewed	SPTBN2 KIAA0302 SCA5	Homo sapiens (Human)	2390	271,325		3
O15027	SC16A_HUMAN	reviewed	SEC16A KIAA0310 SEC16 SEC16L	Homo sapiens (Human)	2357	251,894		4
O15031	PLXB2_HUMAN	reviewed	PLXNB2 KIAA0315	Homo sapiens (Human)	1838	205,127		3
O15042	SR140_HUMAN	reviewed	U2SURP KIAA0332 SR140	Homo sapiens (Human)	1029	118,292		2
O15066	KIF3B_HUMAN	reviewed	KIF3B KIAA0359	Homo sapiens (Human)	747	85,125		1
O15067	PUR4_HUMAN	reviewed	PFAS KIAA0361	Homo sapiens (Human)	1338	144,734		4
O15072	ATS3_HUMAN	reviewed	ADAMTS3 KIAA0366	Homo sapiens (Human)	1205	135,603		4
O15083	ERC2_HUMAN	reviewed	ERC2 KIAA0378	Homo sapiens (Human)	957	110,558		3
O15118	NPC1_HUMAN	reviewed	NPC1	Homo sapiens (Human)	1278	142,167		2
O15126	SCAM1_HUMAN	reviewed	SCAMP1 SCAMP	Homo sapiens (Human)	338	37,920		2
O15131	IMA6_HUMAN	reviewed	KPNA5	Homo sapiens (Human)	536	60,349		2
O15143	ARC1B_HUMAN	reviewed	ARPC1B ARC41	Homo sapiens (Human)	372	40,950		3
O15144	ARPC2_HUMAN	reviewed	ARPC2 ARC34 PRO2446	Homo sapiens (Human)	300	34,333		1
O15145	ARPC3_HUMAN	reviewed	ARPC3 ARC21	Homo sapiens (Human)	178	20,547		3
O15173	PGRC2_HUMAN	reviewed	PGRMC2 DG6 PMBP	Homo sapiens (Human)	223	23,818		1
O15212	PFD6_HUMAN	reviewed	PFDN6 HKE2 PFD6	Homo sapiens (Human)	129	14,583		1
O15230	LAMA5_HUMAN	reviewed	LAMA5 KIAA0533 KIAA1907	Homo sapiens (Human)	3695	399,737		8
O15235	RT12_HUMAN	reviewed	MRPS12 RPMS12 RPSM12	Homo sapiens (Human)	138	15,173		1
O15260	SURF4_HUMAN	reviewed	SURF4 SURF-4	Homo sapiens (Human)	269	30,394		3
O15344	TRI18_HUMAN	reviewed	MID1 FXY RNF59 TRIM18 XPRF	Homo sapiens (Human)	667	75,251		1
O15347	HMGB3_HUMAN	reviewed	HMGB3 HMG2A HMG4	Homo sapiens (Human)	200	22,980		4
O15355	PPM1G_HUMAN	reviewed	PPM1G PPM1C	Homo sapiens (Human)	546	59,272		1
O15371	EIF3D_HUMAN	reviewed	EIF3D EIF3S7	Homo sapiens (Human)	548	63,973		1
O15372	EIF3H_HUMAN	reviewed	EIF3H EIF3S3	Homo sapiens (Human)	352	39,930		1
O15382	BCAT2_HUMAN	reviewed	BCAT2 BCATM BCT2 ECA40	Homo sapiens (Human)	392	44,288		2
O15400	STX7_HUMAN	reviewed	STX7	Homo sapiens (Human)	261	29,816		4
O15427	MOT4_HUMAN	reviewed	SLC16A3 MCT4	Homo sapiens (Human)	465	49,469		1
O15460	P4HA2_HUMAN	reviewed	P4HA2 UNQ290/PRO330	Homo sapiens (Human)	535	60,902		1
O15511	ARPC5_HUMAN	reviewed	ARPC5 ARC16	Homo sapiens (Human)	151	16,320		3
O15533	TPSN_HUMAN	reviewed	TAPBP NGS17 TAPA	Homo sapiens (Human)	448	47,626		1
O43143	DHX15_HUMAN	reviewed	DHX15 DBP1 DDX15	Homo sapiens (Human)	795	90,933		2
O43164	PJA2_HUMAN	reviewed	PJA2 KIAA0438 RNF131	Homo sapiens (Human)	708	78,214		4
O43169	CYB5B_HUMAN	reviewed	CYB5B CYB5M OMB5	Homo sapiens (Human)	150	16,695		3
O43172	PRP4_HUMAN	reviewed	PRPF4 PRP4	Homo sapiens (Human)	522	58,449		2
O43175	SERA_HUMAN	reviewed	PHGDH PGDH3	Homo sapiens (Human)	533	56,651		4
O43181	NDUS4_HUMAN	reviewed	NDUFS4	Homo sapiens (Human)	175	20,108		1
O43236	SEPT4_HUMAN	reviewed	SEPTIN4 ARTS C17orf47 PNUTL2 SEP4 SEPT4 hucep-7	Homo sapiens (Human)	478	55,098		1
O43237	DC1L2_HUMAN	reviewed	DYNC1LI2 DNCLI2 LIC2	Homo sapiens (Human)	492	54,099		1
O43240	KLK10_HUMAN	reviewed	KLK10 NES1 PRSSL1	Homo sapiens (Human)	276	30,170		3
O43242	PSMD3_HUMAN	reviewed	PSMD3	Homo sapiens (Human)	534	60,978		2
O43252	PAPS1_HUMAN	reviewed	PAPSS1 ATPSK1 PAPSS	Homo sapiens (Human)	624	70,833		2
O43294	TGFI1_HUMAN	reviewed	TGFB1I1 ARA55	Homo sapiens (Human)	461	49,814		2
O43313	ATMIN_HUMAN	reviewed	ATMIN KIAA0431 ZNF822	Homo sapiens (Human)	823	88,348		2
O43324	MCA3_HUMAN	reviewed	EEF1E1 AIMP3 P18	Homo sapiens (Human)	174	19,811		1
O43390	HNRPR_HUMAN	reviewed	HNRNPR HNRPR	Homo sapiens (Human)	633	70,943		1
O43396	TXNL1_HUMAN	reviewed	TXNL1 TRP32 TXL TXNL	Homo sapiens (Human)	289	32,251		3
O43399	TPD54_HUMAN	reviewed	TPD52L2	Homo sapiens (Human)	206	22,238		2
O43432	IF4G3_HUMAN	reviewed	EIF4G3	Homo sapiens (Human)	1585	176,652		2
O43447	PPIH_HUMAN	reviewed	PPIH CYP20 CYPH	Homo sapiens (Human)	177	19,208		1
O43464	HTRA2_HUMAN	reviewed	HTRA2 OMI PRSS25	Homo sapiens (Human)	458	48,841		2
O43488	ARK72_HUMAN	reviewed	AKR7A2 AFAR AFAR1 AKR7	Homo sapiens (Human)	359	39,589		3
O43493	TGON2_HUMAN	reviewed	TGOLN2 TGN46 TGN51	Homo sapiens (Human)	437	45,880		4
O43583	DENR_HUMAN	reviewed	DENR DRP1 H14	Homo sapiens (Human)	198	22,092		2
O43598	DNPH1_HUMAN	reviewed	DNPH1 C6orf108 RCL	Homo sapiens (Human)	174	19,108		1
O43615	TIM44_HUMAN	reviewed	TIMM44 MIMT44 TIM44	Homo sapiens (Human)	452	51,356		2
O43660	PLRG1_HUMAN	reviewed	PLRG1	Homo sapiens (Human)	514	57,194		1
O43674	NDUB5_HUMAN	reviewed	NDUFB5	Homo sapiens (Human)	189	21,750		1
O43676	NDUB3_HUMAN	reviewed	NDUFB3	Homo sapiens (Human)	98	11,402		3
O43678	NDUA2_HUMAN	reviewed	NDUFA2	Homo sapiens (Human)	99	10,922		3
O43681	GET3_HUMAN	reviewed	GET3 ARSA ASNA1 TRC40	Homo sapiens (Human)	348	38,793		2
O43684	BUB3_HUMAN	reviewed	BUB3	Homo sapiens (Human)	328	37,155		1
O43692	PI15_HUMAN	reviewed	PI15 CRISP8 P25TI	Homo sapiens (Human)	258	29,065		1
O43707	ACTN4_HUMAN	reviewed	ACTN4	Homo sapiens (Human)	911	104,854		2
O43765	SGTA_HUMAN	reviewed	SGTA SGT SGT1	Homo sapiens (Human)	313	34,063		1
O43776	SYNC_HUMAN	reviewed	NARS1 NARS NRS	Homo sapiens (Human)	548	62,943		1
O43781	DYRK3_HUMAN	reviewed	DYRK3	Homo sapiens (Human)	588	65,714		3
O43790	KRT86_HUMAN	reviewed	KRT86 KRTHB6	Homo sapiens (Human)	486	53,501		1
O43795	MYO1B_HUMAN	reviewed	MYO1B	Homo sapiens (Human)	1136	131,985		3
O43809	CPSF5_HUMAN	reviewed	NUDT21 CFIM25 CPSF25 CPSF5	Homo sapiens (Human)	227	26,227		1
O43813	LANC1_HUMAN	reviewed	LANCL1 GPR69A	Homo sapiens (Human)	399	45,283		1
O43815	STRN_HUMAN	reviewed	STRN	Homo sapiens (Human)	780	86,132		4
O43819	SCO2_HUMAN	reviewed	SCO2	Homo sapiens (Human)	266	29,810		3
O43837	IDH3B_HUMAN	reviewed	IDH3B	Homo sapiens (Human)	385	42,184		2
O43852	CALU_HUMAN	reviewed	CALU	Homo sapiens (Human)	315	37,107		2
O43854	EDIL3_HUMAN	reviewed	EDIL3 DEL1	Homo sapiens (Human)	480	53,765		1
O43865	SAHH2_HUMAN	reviewed	AHCYL1 DCAL IRBIT XPVKONA	Homo sapiens (Human)	530	58,951		2
O43920	NDUS5_HUMAN	reviewed	NDUFS5	Homo sapiens (Human)	106	12,518		3
O60220	TIM8A_HUMAN	reviewed	TIMM8A DDP DDP1 TIM8A	Homo sapiens (Human)	97	10,998		1
O60237	MYPT2_HUMAN	reviewed	PPP1R12B MYPT2	Homo sapiens (Human)	982	110,404		2
O60244	MED14_HUMAN	reviewed	MED14 ARC150 CRSP2 CXorf4 DRIP150 EXLM1 RGR1 TRAP170	Homo sapiens (Human)	1454	160,607		2
O60256	KPRB_HUMAN	reviewed	PRPSAP2	Homo sapiens (Human)	369	40,926		1
O60281	ZN292_HUMAN	reviewed	ZNF292 KIAA0530	Homo sapiens (Human)	2723	304,816		3
O60282	KIF5C_HUMAN	reviewed	KIF5C KIAA0531 NKHC2	Homo sapiens (Human)	957	109,495		1
O60308	CE104_HUMAN	reviewed	CEP104 KIAA0562	Homo sapiens (Human)	925	104,448		1
O60313	OPA1_HUMAN	reviewed	OPA1 KIAA0567	Homo sapiens (Human)	960	111,631		3
O60315	ZEB2_HUMAN	reviewed	ZEB2 KIAA0569 SIP1 ZFHX1B ZFX1B HRIHFB2411	Homo sapiens (Human)	1214	136,447		1
O60343	TBCD4_HUMAN	reviewed	TBC1D4 AS160 KIAA0603	Homo sapiens (Human)	1298	146,563		2
O60437	PEPL_HUMAN	reviewed	PPL KIAA0568	Homo sapiens (Human)	1756	204,747		4
